id,name,screen_name,location,description,followers_count,friends_count,listed_count,favourites_count,statuses_count,verified,created_at,account_age_days,has_location,has_description,domain
305910597,Nicolas Louzada 🐬🆙,NicolasLouzada,,"Geek, Nerd e desde sempre apaixonado por Astronomia e Futebol Americano #FinsUp",224,1470,10,2483,361,False,2011-05-27T00:03:10+00:00,3388,False,True,Entertainment
16468227,Campaign,Campaignmag,London,"The world’s leading magazine for the advertising, marketing & media communities. @CampaignBrands @CampaignMedia @CampaignExpUK @CampaignTechUK @CampaignJobsUK",203238,3818,4501,3632,81500,True,2008-09-26T14:25:15+00:00,4361,True,True,Business;Sports
567468535,redrobbie73,billydog73,"cottered hertfordshire ,uk","level 2football coach,liverpool for ever,music,films,love the english bulldog,look after children with epilepsy & learning difficulties,#jft96#ynwa#",909,1730,9,2,7309,False,2012-04-30T19:03:57+00:00,3049,True,True,Entertainment
3431530511,Curtis Jones,curtisjr_10,,Footballer at Liverpool FC🔴,200696,1,390,16,142,True,2015-08-19T14:05:04+00:00,1843,False,True,Politics;Entertainment;Sports
775135464982405120,Vero Peña ♥️ ObsciMx - Observatorio Ciudadano,Vero_Penia,,,745,1074,1,11171,8277,False,2016-09-12T00:54:31+00:00,1453,False,False,Entertainment
183649547,Nando Penteado,penteadonando,campinas - sp,"Músico formado pela UNICAMP, aulas e shows",3612,4974,2,10826,7651,False,2010-08-27T14:53:43+00:00,3661,True,True,Entertainment
856129962218332161,Jim Brown,TRTJim,,Sarcasm Advocate,3603,195,25,10533,4862,False,2017-04-23T12:57:43+00:00,1230,False,True,Sports
472017924,Ben Ransom,BenRansomSky,Manchester,TV reporter and journalist for Sky Sports News (and a bike racer in my spare time!) Views most definitely my own.,5335,687,39,984,3143,False,2012-01-23T14:20:41+00:00,3147,True,True,Entertainment
39000115,Katy Tur,KatyTurNBC,"New York, NY","MSNBC anchor @2pm, NBC News correspondent, author of NYT best seller Unbelievable, currently treading in the primal soup of US politics.",766714,1670,6943,13015,30681,True,2009-05-10T05:02:51+00:00,4135,True,True,Politics;Business;Entertainment;Sports
269891467,Letta Tayler,lettatayler,New York,Global terrorism/counterterrorism researcher with Crisis & Conflict Division at Human Rights Watch. Ex-foreign correspondent. Retweet≠endorsement.,6683,1003,204,1348,6952,True,2011-03-21T16:52:11+00:00,3455,True,True,Business
865676744,Sara Sabry,sarasabry_,Canada,Instagram: sarasabry,149300,258,25,5522,5684,True,2012-10-07T03:04:59+00:00,2889,True,True,Politics
42562446,Stephen Curry,StephenCurry30,Worldwide,"Believer. Husband to @ayeshacurry, father to Riley, Ryan and Canon, son, brother. Golden State Warriors guard. Davidson Wildcat. Philippians 4:13 #IWILL",14432971,770,13902,748,7318,True,2009-05-26T04:15:37+00:00,4119,True,True,Politics;Business;Entertainment;Sports
2245775322,weareneoni,WeAreNeoni,,sisters who argue & write songs ⬇️ NEONI is on SPOTIFY ⬇️ https://t.co/n8w56THmq4…,74278,51466,392,120137,78589,False,2013-12-14T15:45:57+00:00,2456,False,True,Business
1294286713636831233,鍾亦恩,xl9E2FeKZfgukPU,台灣,雲林文昌👉台中西苑👉？？？ 愛棒球 專職投手打擊超弱😂😂😂守備普通 身高161cm 體重40kg 生日2007/01/15 星座:摩羯座,2,67,0,12,0,False,2020-08-14T14:56:32+00:00,21,True,True,Business
818656029294690308,Chase Ramsey,Ramsey13Chase,"Denver, CO",,31,253,0,503,67,False,2017-01-10T03:09:42+00:00,1333,True,False,Entertainment
105934142,RobertoJalonGardella,rjalon,"Santiago, Chile","¿Haciendo diferencia en el mundo de mis estudiantes universitarios? ¡¡¡Mmm, eso está por verse!!!",563,1681,10,11,439,False,2010-01-18T00:15:51+00:00,3882,True,True,Politics
20838343,Walden,moxi4554,美国,,279,490,1,26692,7883,False,2009-02-14T09:18:29+00:00,4220,True,False,Business
926345425,tamm✨,Tamare_xo,"Hamilton, Ontario",Phillipians 4:3🙏 𝐋𝐢𝐯𝐞 𝐲𝐨𝐮𝐫 𝐁𝐄𝐒𝐓 𝐥𝐢𝐟𝐞 🌹||. SC: tamare_xo.,824,456,1,1626,11301,False,2012-11-04T22:43:56+00:00,2861,True,True,Entertainment
91942071,Bobby Umar | Keynote Speaker,raehanbobby,"Toronto, Canada, US","5x @TEDx | Inc Mag Top 100 Speaker, Heart-Leader, Networking, Personal Brand & Parenting. Author, @HuffPost Writer, TV Host, Comedy Actor, GMAT pro, Daddy",471786,284739,4955,355,181303,True,2009-11-23T05:13:26+00:00,3938,True,True,Politics;Business
512700138,Madonna,Madonna,,https://t.co/7ce9cii2cV,2689735,47,5805,35,4087,True,2012-03-03T02:37:57+00:00,3107,False,True,Politics;Business
1107497784377114626,Gino darmo,RealGinodarmo,California,✝️🇺🇸Persecuted Assyrian Christian Refugee from Middle East USA is My Home TRUMPAMORE IS YOUR PRESIDENT4EVA!!! #heyliberalsleaveourkidsalone ✝️Q🇺🇸#trumpamore,24715,24678,11,36134,26488,False,2019-03-18T04:23:42+00:00,536,True,True,Sports
21795016,Emily Holt,Holt_SF,"San Francisco, CA",,920,118,17,2,448,False,2009-02-24T20:43:18+00:00,4210,True,False,Politics
26792546,Doug (Wear a Mask) Chavez,dvchavez,Boston,BLM! Political & social activist. Consulted & advised Boston City Councilor at Large Julia Mejia & former Governor Deval Patrick campaigns. VOTE @edmarkey!,373,1181,3,6844,3248,False,2009-03-26T16:58:10+00:00,4180,True,True,Politics
99471291,(((Jason Overdorf))),joverdorf,"Washington, DC",Recovering journalist.,3519,484,187,252,16234,True,2009-12-26T10:05:03+00:00,3905,True,True,Entertainment
1298386774683680768,Craig,Craig62500900,,US Marine Staff Sergeant🇱🇷🇱🇷 Issa Certified Trainer❤️ Gym enthusiast 💪💪 Proud American/Colorado raised,0,61,0,0,3,False,2020-08-25T22:28:47+00:00,10,False,True,Politics
107436986,Shania Twain 💎,ShaniaTwain,"Timmins, Ontario",The Woman In Me: Diamond Edition 💎 is coming October 2nd. Pre-order now!,938261,550,3011,5517,3991,True,2010-01-22T15:16:08+00:00,3878,True,True,Politics;Sports
971723743,Grant,tantrumTNT,"Florida, USA",🌙Look up⭐️,1140,183,0,1549,394,False,2012-11-26T10:33:16+00:00,2839,True,True,Business
57948579,Akhilesh Yadav,yadavakhilesh,"Lucknow, India",Socialist Leader of India. Chief Minister of UP (2012 - 2017),12618652,24,1564,49,3186,True,2009-07-18T14:52:00+00:00,4066,True,True,Politics;Business;Entertainment
512393797,Shaun 'Hazard' Anschutz,Hazard_MTG,"Irvine, CA","BS Health Science #KentStateAlumni | FMF Navy Corpsman Veteran | Previously Tempo Storm Writer, Manager, Partner Relations",808,185,7,9841,5073,False,2012-03-02T19:59:27+00:00,3108,True,True,Entertainment
818996878951862273,Ken Fisher,KennethLFisher,"Camas, Washington","Self-Made Multi-Billionaire, Global Investor, Father of P/S Ratio, NYT Bestseller, Market Guru, Financial Columnist and Tree Nut.",403772,228,626,1440,10802,True,2017-01-11T01:44:07+00:00,1332,True,True,Sports
1203159507108450306,DSF Chain,dsftoken,,,3983,0,0,0,122,False,2019-12-07T03:49:29+00:00,272,False,False,Sports
52146755,MythBusters,MythBusters,"San Francisco, CA",,1464578,15461,12489,1628,13241,True,2009-06-29T18:46:37+00:00,4085,True,False,Politics;Business;Entertainment
193095044,Brian Windhorst,WindhorstESPN,"Arenas, studios, airplanes",NBA for ESPN; 2x NY Times best-selling author,719777,869,10897,0,12033,True,2010-09-20T23:31:09+00:00,3637,True,True,Politics;Business
822249935454146560,Zitlaly Gobea Garcia,GobeaGarcia,"Tijuana, Baja California","Soy una chica que siempre tiene un teléfono en sus manos, unos auriculares y UN COREANO en su mente.",5,103,0,833,275,False,2017-01-20T01:10:36+00:00,1323,True,True,Business
1256368129535545344,Travis Smith,Trav_AndreSmith,,Engineering student Muay Thai - BJJ - MMA Canoeist - River marathons - surf ski and aspiring white water kayaker,0,25,0,5,1,False,2020-05-01T23:41:40+00:00,126,False,True,Sports
973333615412154368,"Great Lakes Guy, Rick",buildingguy57,"USA ,Michigan  ,","I can see Canada from my front porch,Born Aug.8th,, love Baseball, Hockey, #gogreen #bobdylan #resist, #V4MSU #MotorOn,#Sausagearmy",1705,4263,0,20549,12649,False,2018-03-12T23:03:12+00:00,907,True,True,Sports
2848154189,Eastbridge-SB.com,Eastbridge_SB,,https://t.co/jLQWEUyAEY Bespoke Sports Betting Brokerage. Skype Betting. Sportsbooks Accounts. Betting Platform. Sports Betting API.  +18 ONLY.,5371,5402,180,1900,44324,False,2014-10-28T12:55:28+00:00,2138,False,True,Entertainment
15254807,Internazionale,Internazionale,"Roma, Italia",Le ultime notizie da tutto il mondo scelte dalla redazione di Internazionale.,1230027,397,6502,93,76261,True,2008-06-27T13:41:35+00:00,4452,True,True,Politics
4733080641,Sky Data,SkyData,,Polling and data analysis from @SkyNews.  Sky Data is a member of the British Polling Council and abides by its rules.,11560,22,180,6,1300,True,2016-01-07T09:15:05+00:00,1702,False,True,Entertainment
765926406622699520,José Miguel Vivanco,JMVivancoHRW,,"Executive Director, Americas Division, Human Rights Watch",141501,977,585,3728,6160,True,2016-08-17T15:01:00+00:00,1479,False,True,Business
147205029,Mike L. Goodman,TheM_L_G,DC,"Half of @doublepivotpod. Used to do @StatsBomb stuff. Also did words at @FiveThirtyEight, ESPN, Grantland (RIP) etc. Sometimes not soccer at @GQMagazine.",19713,1349,944,32190,14505,False,2010-05-23T13:56:01+00:00,3757,True,True,Sports
300868924,EU_Eurostat,EU_Eurostat,Luxembourg,Eurostat is the statistical office of the European Union. We provide high quality statistics for Europe. #AskEurostat,156767,59,3694,374,6674,True,2011-05-18T14:02:16+00:00,3397,True,True,Entertainment
775750307091451904,M.N.S,FlexMiah786,Paraguay,Kill or be killed,7,153,0,268,193,False,2016-09-13T17:37:40+00:00,1452,True,True,Sports
1283054869121835010,chuck,Pr1nc3Ch4rl3s,,,3,154,0,939,113,False,2020-07-14T15:05:40+00:00,52,False,False,Politics
108342144,Michael B. Marois,MichaelMarois,Sacramento,"Editor, Bloomberg. Dad. Fly Fisherman. Photographer. Air Force Veteran. Red Sox/Patriots/Bruins/Celtics Fan. ~ Opinions are my own ~",2299,563,152,732,5056,True,2010-01-25T16:54:42+00:00,3875,True,True,Politics
826502328572317696,Josh,KloppStyle,,@LFC fan account | Instagram - @KloppStyle,18779,1060,80,29319,17814,False,2017-01-31T18:48:05+00:00,1312,False,True,Sports
303062677,Marion Holman,holmanm,,"Follow the science not the $$ - Diet & lifestyle over pharma drugs.  Love nature, walking and dogs",3283,3418,38,18641,11599,False,2011-05-22T07:29:31+00:00,3393,False,True,Sports
299802277,Bradd Jaffy,BraddJaffy,New York,"NBC News • Senior producer, NBC Nightly News",236134,1240,3956,6637,26755,True,2011-05-16T18:07:07+00:00,3399,True,True,Sports
30261067,CNET,CNET,San Francisco,CNET is the place to find out what's happening in tech and why it matters.,1734465,407,26276,3991,266100,True,2009-04-10T17:10:53+00:00,4165,True,True,Politics;Business;Entertainment
1298471485510692865,TECHECOLED,techecoled,,Venta de paneles solares y accesorios electricos,0,102,0,1,4,False,2020-08-26T04:05:28+00:00,9,False,True,Politics
1183016177284583425,estera | إستيرا,oh15h,,إستيرا | Estera https://t.co/qsvONCM5ws Snapchat : estera_store WhatsApp : +966530581526 الطلب عبر موقعنا | shop online,81,855,0,8,193,False,2019-10-12T13:47:15+00:00,328,False,True,Sports
193494089,“The Big Show” Paul Wight,WWETheBigShow,"Tampa, Florida",The pound-for-pound World's Largest Athlete is a feared competitor who can intimidate a WWE opponent with his size and stare alone.,2520721,559,5578,2343,3015,True,2010-09-21T23:34:23+00:00,3636,True,True,Politics
214620546,Fox Small Business,fbsmallbiz,Everywhere,Our job is to help you run a better small business.,59885,213,1060,12,3276,True,2010-11-11T20:58:51+00:00,3585,True,True,Politics
16386704,Weasel Zippers,weaselzippers,United States,Scouring the bowels of the Internet.,18471,447,664,162,59970,True,2008-09-21T02:47:58+00:00,4366,True,True,Entertainment
4199648488,HAMMAD KHAN FX,HammadkhanFx,"Punjab, Pakistan",professional Forex Trader❤️❤️❤️,395,956,1,2712,971,False,2015-11-16T05:42:25+00:00,1754,True,True,Sports
1249889062233747456,lisis,lisis73791274,,,2,122,0,0,23,False,2020-04-14T02:35:57+00:00,143,False,False,Politics
2424569809,dan haren,ithrow88,"OC, Ca",I threw 88...... Retired,117561,342,926,4743,1366,True,2014-04-03T01:03:08+00:00,2346,True,True,Entertainment
2333235974,Fabio Serpiello,FabioSerpiello,"Melbourne, Australia","Postgraduate Convener/Snr Lecturer/Chair of MSc (⚽️🏉🏈 Perf), @victoriauninews @iHealthSportVU @TrackVU | Founder @comparetech | All views are my own",1408,564,14,1575,1187,False,2014-02-08T10:09:03+00:00,2400,True,True,Sports
1899561499,alanah,musicalbobsie,"The Woodlands, TX",💻web content writer 🎼musician 🎥video editor 📸photographer,189,406,3,1873,1610,False,2013-09-24T07:14:21+00:00,2537,True,True,Entertainment
2306423824,TheJuiceGuy🧃,MachanganiBag,"Soweto, South Africa",MachanganiBagSwagLifeStyle Ambassador || Letaba Nectar Juice Distributor.,9687,9497,3,10221,3436,False,2014-01-26T20:47:43+00:00,2413,True,True,Politics
611362961,Mckaylee Masengale,masengalegirl,"Alabama, USA",,442,495,0,37,116,False,2012-06-18T03:56:52+00:00,3000,True,False,Entertainment
209154113,Virgilio,v0vvy,,"Intenté escribir aquí algo que no me suene mal, y no lo he conseguido. Sacad vuestras propias conclusiones.",177,405,0,831,2441,False,2010-10-28T16:30:04+00:00,3599,False,True,Entertainment
513338966,Hala Khalid AlJassar,Halaaljassar,"Kuwait University, physics",https://t.co/X95S238o5r https://t.co/RnmuWkfaVd,930,325,7,909,3188,False,2012-03-03T16:26:13+00:00,3107,True,True,Entertainment
1298401483990487042,Princesabeiby,Princesabeiby1,,living the life :),0,7,0,0,0,False,2020-08-25T23:26:59+00:00,10,False,True,Politics
219248343,TRT HABER,trthaber,Türkiye,Türkiye'nin Haber Ekranı: @trthaber | Canlı yayınlar: @trthabercanli | Programlar: @trthabertv | Instagram: https://t.co/YalSbjYhjd | https://t.co/W4KVeCq1Fn,3502900,4,2242,0,194699,True,2010-11-24T10:12:08+00:00,3572,True,True,Politics;Entertainment
19426562,Mike Gordon,CrankyDad,"Bend, OR","I tell stories and I edit stories. And I write. These rants are entirely (well, mostly) my own.",2626,3086,120,6381,36666,True,2009-01-24T01:28:14+00:00,4241,True,True,Business
53097913,Kira O'Brien.,KiraOBrien,"Saint Helens, England",You've got to wake up and love where you are.. #UFC #Bellator #ManchesterUnited,3061,4168,21,18740,13946,False,2009-07-02T15:45:05+00:00,4082,True,True,Entertainment
724857264,Dekkster,DekksterGaming,"Temecula, CA",Twitch Partner and YouTuber | F2K | Business Inquires: 	DekksterBiz@fullscreen.com https://t.co/igx0qf99sb,13322,683,43,5226,679,False,2012-07-29T23:51:23+00:00,2959,True,True,Entertainment
2440188996,twins,boocaprincesses,,,42544,512,564,336683,194742,False,2014-04-12T15:48:14+00:00,2337,False,False,Business
1018968529544986624,Dale Kleinknecht,KinkInTheNeck,"Alberta, Canada",Semi-Retired Draftsman and wannabe rockstar - Trump is a blight on humanity #Resist #BLM #LGBTQ Ally,2840,4038,5,30660,22217,False,2018-07-16T21:20:03+00:00,781,True,True,Sports
282545479,Michael Barbaro,mikiebarb,"New York, NY",Host of The Daily.,251116,1688,3474,19459,51657,True,2011-04-15T12:18:28+00:00,3430,True,True,Politics;Entertainment;Sports
530842489,Tsubasa Εndoh | 遠藤 翼,tsubasa_endoh,"Toronto, Ontario",Japanese Professional Football Player,2590,108,55,97,75,True,2012-03-20T02:25:30+00:00,3090,True,True,Sports
66369206,The FCC,FCC,"Washington, DC",The official Twitter page of the US Federal Communications Commission. RT & Follow does not imply endorsement.  FCC moments: https://t.co/iVXTCQsVX8,706770,179,6758,6,17070,True,2009-08-17T14:43:05+00:00,4036,True,True,Politics
15484511,Christine Varnado,eyweltschmerz,"Buffalo, NY",Now with permanent Weltschmerz,310,2201,2,3075,307,False,2008-07-18T18:30:36+00:00,4431,True,True,Entertainment
326427590,CB,cbrunsonjr_,,,1226,719,3,2222,13493,False,2011-06-29T22:14:33+00:00,3355,False,False,Politics
22508473,Oversight Committee Republicans,GOPoversight,Washington D.C.,House Oversight Committee Republicans | Est. 1814 | https://t.co/ylzBTwEGzE,111344,12795,1497,1288,14300,True,2009-03-02T17:30:34+00:00,4204,True,True,Business;Entertainment;Sports
1291360856308097024,niran. 🇳🇬,FNGOsisenaa,"Lagos, NG (UK)",Jije lori awọn ibi-afẹde 5 ti o gaju KSI jẹ aṣeyọri nla julọ mi | 🇳🇬 | pro shagger fun eboys FC | Biz: flyingnirangatang@gmail.com,21,26,0,39,18,False,2020-08-06T13:10:10+00:00,29,True,True,Sports
75069067,Clinton Foundation,ClintonFdn,New York,"Working with partners across the United States and around the world to create economic opportunity, improve public health, and inspire civic engagement.",837314,799,7015,2117,11608,True,2009-09-17T17:44:23+00:00,4005,True,True,Politics
1291382005150744576,عـَميدي | ( الحساب الثاني ),bx3dy,Iraq,هذا العراق..🤍,117,156,0,87,72,False,2020-08-06T14:35:13+00:00,29,True,True,Business
41998163,Vivek Shah,koolvicky,"Mumbai, India",Stock Market For Life!  DISC - I'm NOT A SEBI Certified Advisor!,37453,53,366,8741,4699,False,2009-05-23T08:31:37+00:00,4122,True,True,Entertainment
1283430098318884864,MilyMM,MilyMM5,,,2,215,0,108,7,False,2020-07-15T15:57:10+00:00,51,False,False,Business
105442995,Manoj Muntashir,manojmuntashir,Mumbai-India,"Lyricist, Writer & Poet (TeriMitti/Bahubali 1N2/PhirBhiTumKoChahunga/Galliyan/TereSangYara/DekhteDekhte/KaunTujhe/RashkeQamar/KaiseHua) Teri Mitti Unreleased 👇",194381,424,63,36175,24088,True,2010-01-16T10:41:21+00:00,3884,True,True,Entertainment
